Hybridization REF,TCGA-35-3615-01A-01R-0946-07,TCGA-55-1592-01A-01R-0946-07,TCGA-67-3770-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-55-1594-01A-01R-0946-07,TCGA-67-3771-01A-01R-0946-07,TCGA-44-2656-01A-02R-0946-07,TCGA-55-1595-01A-01R-0946-07,TCGA-67-3772-01A-01R-0946-07,TCGA-44-2659-01A-01R-0946-07,TCGA-55-1596-01A-01R-0946-07,TCGA-67-3773-01A-01R-0946-07,TCGA-44-2662-01A-01R-0946-07,TCGA-64-1676-01A-01R-0946-07,TCGA-67-3774-01A-01R-0946-07,TCGA-44-2665-01A-01R-0946-07
HLA-DMB,5.647666667,5.296666667,6.401666667,5.760666667,5.122333333,5.487833333,5.788166667,4.709,5.694833333,5.8175,5.186333333,5.853,5.2595,6.2895,5.333,5.447
RRAGA,0.18425,0.39325,-0.46625,-0.0895,0.41225,0.44375,0.3745,0.717,0.09625,0.4025,0.2245,0.15325,0.6675,0.2255,0.182,0.56825
CPN1,-2.21275,-3.0535,-2.32175,-2.94175,-1.2775,-3.79375,-2.998,-2.71425,-2.7095,-2.6145,-1.41675,-2.282,-3.33725,-2.039,-1.9265,-1.91775
MGC52282,-0.7234,2.3179,0.7554,-1.0428,-0.2339,1.0549,0.8875,-0.546,0.9063,-0.2605,2.2273,0.0093,1.9738,-0.0614,1.2355,1.2261
OR9G4,0.151,-0.094,-0.269,-0.018,-0.089,0.1615,0.3945,0.018,-0.109,-0.358,0.151,0.1215,0.3615,-0.1525,-0.2655,-0.235
EDNRB,-0.889,0.266625,-0.031375,0.719375,-1.4665,-1.081875,-0.448125,-0.29275,0.153625,-0.511125,-1.498625,0.118875,-1.6225,-1.4055,0.247875,-0.782875
SCD,-2.385642857,-0.526857143,-3.047071429,-1.767142857,-1.748142857,-0.971714286,0.149142857,-1.374428571,-2.798071429,-2.43,0.779642857,-1.624,-0.003428571,-1.574357143,-1.513,-2.242642857
BAGE2,-1.243,-0.4015,-1.286,-0.215,3.254,-0.7755,-0.4125,-0.207,-0.413,-0.042,-0.8695,-1.472,-0.6455,-0.35,-0.9775,-0.239
STAT3,0.8684375,1.05225,0.8463125,1.0283125,1.07075,1.0358125,0.579375,1.9223125,0.677125,0.889,1.895375,0.896375,1.1229375,0.45125,1.2285625,0.7713125
ATN1,0.373,-0.169666667,0.421166667,0.502666667,0.266333333,-0.149333333,-0.004,0.318833333,0.0055,-0.065833333,0.044666667,0.103666667,-0.066333333,0.4225,0.111833333,0.121833333
SEPT9,-0.79875,0.229125,-0.66775,-0.310875,0.4205,-0.341125,-0.001375,0.174,-0.15275,0.04875,-0.588,-1.34375,0.147625,-0.8215,0.204875,-0.668
