Hybridization REF	TCGA-07-0249-20A-01R-1107-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.279916666666667
CREB3L1	1.72225
RPS11	-0.946125
PNMA1	1.30075
MMP2	2.87033333333333
C10orf90	3.421
ZHX3	0.866666666666667
ERCC5	1.10975
GPR98	-1.645625
RXFP3	0.5705
APBB2	0.67325
PRO0478	-1.0815
KLHL13	0.166
PRSSL1	-0.470666666666667
PDCL3	-0.439666666666667
DECR1	-0.098875
SALL1	1.84583333333333
CADM4	0.240833333333333
RPS18	-0.875285714285714
HNRPD	-0.541166666666667
CFHR5	0.222
SLC10A7	0.0975
OR2K2	0.1965
LMAN1	0.806375
SUHW1	-1.943
CHD8	-1.3965
SUMO1	0.3077
GP1BA	-0.0302
DDB1	-0.623166666666667
MYO9B	0.4661
MMP7	3.5115
CRNKL1	-0.9395
C9orf45	-1.83183333333333
XAB2	0.0925
RTN1	1.837125
KLHL14	-0.967375
TBX10	-0.129
CENPQ	-0.10675
UTY	-0.194714285714286
ZBTB12	0.177
DTNBP1	-1.972125
KBTBD8	-0.641833333333333
ZEB1	0.839333333333333
ZG16	-0.706
MIER1	0.6615
ADAM5P	-0.27
CHD9	0.17675
STK16	0.31775
KIAA1486	0.199
TOB2	0.0943333333333333
BANK1	1.73775
OR2V2	0.1875
GRM2	0.239833333333333
PROSC	-0.14525
SPIN2B	-0.18425
PIR	-0.242777777777778
IPO9	-0.2489
EVC	2.1415
CXCL13	0.348166666666667
KIAA1199	-0.2245
SORL1	-5.42925
NAT10	-0.5155
CHD1	-0.90525
SYN3	0.3085
SLC22A2	0.134
SERPINF1	-4.75633333333333
WDR34	-0.8145
OR7A17	0.32825
C9orf11	0.5535
RNF216L	0.4298
LHB	0.3675
STK25	-0.4505
TAOK3	1.148625
LOC152573	-2.041
C3orf39	0.7085
C14orf108	0.2457
CDC25B	-1.38109090909091
BMP3	0.7195
TMEM180	0.2165
MAP1LC3C	0.20225
CRYGC	-0.1245
POU3F1	-0.6153
C20orf32	-0.2245
CCDC95	0.275
HIGD1B	0.0965
USP6NL	-0.2845
ABCD4	-0.609333333333333
DIMT1L	0.0705
TEK	-0.002
SLC25A46	0.03275
LARP7	-1.3358
CD160	-0.0441666666666667
MT1JP	3.50683333333333
PHF20	0.070625
CPNE4	0.592
GTPBP1	-0.758642857142857
RAB33B	0.6855
ALDOC	1.0355
ZNF212	-0.355
NUDT1	-1.05466666666667
RFPL2	-0.6425
ZNF83	-4.9205
GDPD5	-1.2165
PDCD4	-0.19655
CEP350	-1.02725
OR10A2	0.267
CST7	-0.369
CIAO1	0.47475
SELL	0.2265
OR8J3	-0.1775
LTBP4	0.132166666666667
SIRT6	0.0655
CCL19	0.2615
PPIL1	-1.29716666666667
GBP7	-0.0203333333333333
STK17A	1.1218
ABR	1.28
OR9G1	-0.1275
FOXE1	0.0895
CNGA3	3.6435
GML	0.0805
CD38	-2.07025
ZDHHC6	0.4355
NEFH	-4.669
CTDSP2	-0.53225
PGBD5	-1.14716666666667
CCNY	0.669357142857143
RMND5B	-0.448
ZNF257	-2.90275
FLJ22167	0.579125
EXOSC7	-0.5255
ROR2	-0.602375
MAOA	1.08025
TNNT3	-0.0975
GYPC	-0.79725
C7orf33	0.675
PLIN	0.379833333333333
LOC90826	0.01275
RNF4	0.2401
F8A1	-0.896666666666667
PLEKHG4	-0.2615
GRB2	0.0343
HIST1H2AD	-1.1175
DUS3L	-0.352
EIF1	0.329333333333333
RP5-1077B9.4	-0.707666666666667
FPGT	1.13275
GDF10	-0.975666666666667
COQ9	-0.191
GCC2	0.240357142857143
RARRES3	0.40475
