Hybridization REF	TCGA-44-3919-01A-02R-1107-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.752
CREB3L1	0.9585
RPS11	1.050875
PNMA1	-1.2575
MMP2	0.321833333333333
C10orf90	-2.14175
ZHX3	-0.756166666666667
ERCC5	-0.0715
GPR98	-0.649285714285714
RXFP3	0.7715
APBB2	0.1365
PRO0478	-0.826875
KLHL13	-2.72125
PRSSL1	1.70166666666667
PDCL3	0.134833333333333
DECR1	-0.0085
SALL1	-3.2114
CADM4	-0.495
RPS18	1.23657142857143
HNRPD	-2.30525
CFHR5	1.69716666666667
SLC10A7	-0.402
OR2K2	0.0720000000000001
LMAN1	-0.14875
SUHW1	-3.31333333333333
CHD8	-1.1108
SUMO1	0.8416
GP1BA	0.5908
DDB1	-1.10866666666667
MYO9B	-0.515666666666667
MMP7	7.4185
CRNKL1	-0.147625
C9orf45	-2.75066666666667
XAB2	-0.738
RTN1	1.37275
KLHL14	-1.143375
TBX10	-0.835
CENPQ	-0.78275
UTY	-1.0253
ZBTB12	-0.2495
DTNBP1	0.010625
KBTBD8	0.533833333333333
ZEB1	-0.106833333333333
ZG16	-0.72275
MIER1	0.745
ADAM5P	
CHD9	-0.110125
STK16	0.198
KIAA1486	0.6545
TOB2	0.4665
BANK1	4.626
OR2V2	-0.1745
GRM2	-0.149
PROSC	0.444
SPIN2B	0.3305
PIR	-1.26333333333333
IPO9	-0.7497
EVC	-0.1705
CXCL13	6.11066666666667
KIAA1199	1.2708
SORL1	0.253
NAT10	-1.53925
CHD1	-0.22575
SYN3	-0.237
SLC22A2	-0.944333333333333
SERPINF1	0.676833333333333
WDR34	-1.58425
OR7A17	0.385
C9orf11	-0.878
RNF216L	-0.1949
LHB	0.2525
STK25	-1.1855
TAOK3	0.55325
LOC152573	0.64175
C3orf39	-0.092875
C14orf108	0.4975
CDC25B	-1.288
BMP3	2.3885
TMEM180	-0.105
MAP1LC3C	1.835
CRYGC	-0.477
POU3F1	-1.1471
C20orf32	-0.5515
CCDC95	-0.2155
HIGD1B	6.21725
USP6NL	-1.069
ABCD4	0.0641666666666667
DIMT1L	-0.148416666666667
TEK	1.8725
SLC25A46	1.186
LARP7	-1.6618
CD160	0.562833333333333
MT1JP	0.945
PHF20	-1.2469375
CPNE4	0.33275
GTPBP1	-0.919928571428571
RAB33B	1.606
ALDOC	-0.802125
ZNF212	-1.0425
NUDT1	-1.49566666666667
RFPL2	0.87875
ZNF83	0.378333333333333
GDPD5	-1.21575
PDCD4	-0.23965
CEP350	-0.84525
OR10A2	-0.099
CST7	5.26975
CIAO1	-0.36625
SELL	1.446875
OR8J3	0.034
LTBP4	-0.362166666666667
SIRT6	-0.38475
CCL19	5.81125
PPIL1	-0.124833333333333
GBP7	0.3298
STK17A	1.2291
ABR	-0.34775
OR9G1	0.329
FOXE1	0.00687500000000001
CNGA3	-0.2735
GML	-0.187
CD38	-0.0095
ZDHHC6	0.8475
NEFH	-3.022
CTDSP2	-0.0748333333333333
PGBD5	-1.27533333333333
CCNY	0.204571428571429
RMND5B	-0.136
ZNF257	-1.72033333333333
FLJ22167	0.12575
EXOSC7	-0.9545
ROR2	0.193125
MAOA	2.66175
TNNT3	0.2455
GYPC	-1.132
C7orf33	0.61
PLIN	0.583
LOC90826	0.488
RNF4	-0.9289
F8A1	0.164333333333333
PLEKHG4	-1.60025
GRB2	-0.3273
HIST1H2AD	0.294
DUS3L	-0.948166666666667
EIF1	0.0945
RP5-1077B9.4	-1.54566666666667
FPGT	1.316
GDF10	3.23416666666667
COQ9	-0.227
GCC2	0.198142857142857
RARRES3	3.52275
PLXNA1	-0.5997
KIAA0100	-1.1015
PMF1	0.41875
FNDC1	5.01175
